R1,R2,R3,R5,R6,HW1,HW2,HW3,HW4,HW5,HW6,Midterm
3,4,16,9,4,56,52,56,82,86,99,100
3,3,16,9,4,49,38,26,71,59,71,79
3,4,16,9,4,42,42,32,79,23,51,80
3,4,0,9,4,55,52,54.5,78,62,86,82
3,4,16,9,4,53,48,56,75.5,80,80,56
3,4,16,9,4,50,52,38,78.5,69,94,98
3,4,16,9,4,0,52,56,77.5,65,91,74
3,4,16,9,4,56,52,55,82,71,0,72
3,4,16,9,4,52,44,52,79.5,74.5,85,93
3,4,16,9,4,48,51,46,63,70,86,66
3,4,16,9,4,56,49,56,86,86,60,87
3,4,16,9,4,51,47,54,73,85.5,93,91
3,4,16,9,4,55,52,56,78.5,84.5,86,72
3,4,16,9,4,53,44,56,76,82,82,93
3,4,16,9,4,54,44,44,79.5,71,81,82
3,4,16,9,4,56,43,53,80,79,84,74
3,4,16,0,4,52,45,34,73,64.5,78,79
3,4,16,9,4,54,50,28,66,61.5,0,65
3,4,16,9,4,52,49,51,73,73.5,87,94
3,4,16,9,4,56,45,44,49.5,43,66,60
3,4,16,9,4,56,51.5,50,76,72,95,93
3,4,0,9,4,48,39,29,70,56,72,69
3,3,16,9,4,56,47,51,72,0,74,86
3,3.5,16,9,4,52,48,55,0,73,83,90
3,4,16,9,4,54,40,45,70,0,72.5,74
3,4,16,9,4,49,44,47,81.5,82,78,92
3,4,16,9,4,55,52,0,0,79,91,78
3,4,16,9,4,50.5,37,32,63,64,82,77
3,4,16,9,4,50,18,47,78,47,58,57
3,4,16,9,4,46,50,56,81,82,90,77
3,4,16,9,4,55,52,56,81,84,86,62
3,4,14,9,4,45,47,45,62.5,71,88,69
3,4,16,9,4,54,48,50,82,78,94,93
3,4,14,9,4,34,10,51,55,0,81,85
3,4,0,9,4,54,48,45,73,75,77,72
3,4,14,9,4,56,48,51,81.5,86,94,81
3,4,14,9,4,55,50,45,80.5,76,84,80
3,4,14,9,4,37,46,44,77.5,47,78,77
3,4,14,9,4,56,42,28,81.5,86,79,83
3,0,14,9,4,30,17,18,60.5,11,4,52
3,4,14,9,4,54,52,29,79,80,90,83
3,4,0,9,0,55.5,48,38,78,79,81,77
3,4,16,0,0,53,52,44,82,0,73,89
3,4,0,9,0,26,12,12,0,10,7,49
3,4,16,9,0,54,48,56,82,85.5,97,85
3,4,16,9,0,39,26,25.5,70,79,97,57
3,4,0,9,0,53,52,43,82,82,83,91
3,0,16,9,0,56,52,43,82,79,85,75
3,4,16,9,0,43,45,48,62,72,76,69
3,4,16,9,0,47,38,36,82,73,69,93
3,4,0,9,4,50,39,34,54,61,72,81
3,4,16,9,4,56,52,55,80,82,82.5,61
3,4,16,9,4,49,50,53,77,67,73,70
3,4,16,9,4,40,44,33,69.5,41,73,85
3,4,16,9,4,53,52,37,77,80,78,80
3,4,16,9,4,45,50,32,75.5,58,81,83
3,4,16,0,4,38,25.5,24,30.5,34,60,79
3,4,16,9,4,49,44,53,67,82,85,97
2.5,4,16,9,4,42,46,44,73,82,82,72
2.5,4,16,9,4,44,43,50,57,64,70,54.5
0,0,16,9,0,0,0,25,75.5,70.5,94,79
0,0,16,9,0,41,0,23,26.5,22,74,44
0,0,0,9,4,0,0,25,76,79.5,64,87
0,4,16,9,4,39,52,47,79,75,71,64
0,0,0,0,0,0,0,0,0,0,0,0
